price_in_rp,lat,long,facilities,property_type,ads_id,land_size_m2,building_size_m2,certificate,year_built,property_condition,building_orientation,furnishing
43,96,302,0,0,417,331,275,1,0,1,0,0
207,96,302,0,0,1305,130,58,4,0,0,4,3
194,96,302,11,0,1537,63,96,4,0,0,4,3
187,96,302,11,0,153,73,87,4,0,0,4,0
182,96,302,23,0,905,73,96,0,31,6,4,4
140,96,302,0,0,1670,96,61,4,27,1,0,3
493,96,302,25,0,1475,395,300,4,39,3,0,4
187,96,302,2,0,1380,73,87,4,0,6,4,4
332,96,302,11,0,1205,331,157,4,39,3,4,4
196,181,291,22,0,2137,62,54,0,0,1,0,4
346,181,291,11,0,1618,377,213,1,39,3,0,4
302,181,291,11,0,1617,347,191,1,39,3,0,4
512,181,291,0,0,2636,420,298,4,35,3,0,4
533,181,291,25,0,738,130,28,4,32,1,4,4
47,181,291,9,0,2617,406,9,4,39,3,6,0
47,181,291,10,0,2590,406,9,4,39,3,6,0
47,181,291,7,0,2586,406,9,4,39,3,6,0
47,181,291,15,0,2570,406,9,4,39,3,1,0
292,181,291,22,0,2557,416,268,4,28,6,0,0
202,181,291,6,0,2549,372,204,4,39,3,6,3
396,181,291,4,0,2539,267,203,4,32,3,0,4
98,181,291,23,0,1997,347,90,4,39,3,0,4
543,181,291,20,0,1991,416,293,4,39,3,4,4
342,181,291,5,0,1985,410,220,4,39,3,4,0
198,181,291,4,0,1983,347,185,4,39,3,4,3
213,181,291,4,0,1982,372,276,4,38,1,6,3
493,181,291,25,0,1703,395,300,4,39,3,0,4
34,181,291,4,0,1702,37,312,4,38,3,4,2
493,181,291,27,0,1465,395,300,4,39,3,0,4
213,249,325,23,0,523,347,185,4,39,3,4,4
252,249,325,20,0,1352,347,185,4,0,3,0,4
242,249,325,1,0,1668,347,195,4,39,3,4,4
271,249,325,22,0,2447,347,185,4,39,1,4,4
303,249,325,26,0,1714,362,185,4,38,3,6,3
574,45,295,11,0,405,362,308,4,0,1,0,4
77,45,295,11,0,2843,47,293,1,0,1,0,4
40,45,295,0,0,536,406,247,3,0,3,0,4
556,45,295,22,0,43,342,312,4,39,3,0,3
54,45,295,0,0,2623,416,66,4,0,1,0,4
585,45,295,1,0,2028,416,276,4,32,1,4,4
56,45,295,26,0,2023,10,1,4,0,1,0,4
151,45,295,0,0,2008,73,63,4,0,0,0,0
151,45,295,0,0,2013,73,63,4,0,0,0,0
34,45,295,0,0,2010,47,319,1,0,0,0,0
83,45,295,20,0,2009,25,116,4,0,1,0,4
98,45,295,22,0,1995,347,150,4,39,3,0,4
62,45,295,25,0,1993,73,289,4,0,1,0,4
497,45,295,20,0,1757,362,255,4,0,1,0,4
108,45,295,26,0,1681,109,247,4,37,3,6,4
77,45,295,11,0,1664,10,9,4,0,0,0,0
47,45,295,11,0,1479,416,312,4,0,0,0,0
47,45,295,11,0,1477,416,312,4,0,0,0,0
115,45,295,11,0,1471,59,293,3,0,6,1,4
356,45,295,22,0,1457,243,255,4,0,4,0,4
47,45,295,11,0,1445,406,247,3,35,1,0,3
146,45,295,22,0,1417,111,55,1,0,3,0,0
153,45,295,22,0,1370,73,26,4,0,1,0,0
70,45,295,25,0,1356,57,114,4,0,1,4,4
34,45,295,22,0,1355,416,241,4,0,3,1,4
62,45,295,11,0,1201,17,275,4,0,0,0,0
91,45,295,20,0,1191,91,133,4,0,1,0,0
194,45,295,20,0,1180,186,77,4,0,1,4,4
62,45,295,0,0,1173,17,275,4,0,0,4,0
558,180,294,26,0,129,377,275,4,37,2,6,3
359,180,294,2,0,1864,377,213,4,39,3,0,4
353,180,294,26,0,1863,372,195,4,39,3,0,4
484,180,294,23,0,1724,395,242,4,38,3,6,4
493,180,294,25,0,1705,395,300,4,39,3,0,4
493,180,294,25,0,1469,395,300,4,39,3,0,4
289,180,294,25,0,1460,347,204,1,38,3,0,4
346,246,224,25,0,739,347,227,4,39,1,4,4
27,246,224,11,0,550,416,276,4,0,1,1,4
410,246,224,11,0,408,377,255,4,0,1,3,4
99,246,224,11,0,229,130,312,1,0,0,0,4
85,246,224,5,0,1080,38,9,4,39,3,2,3
31,246,224,6,0,2054,406,289,4,37,3,6,4
493,246,224,23,0,1709,395,300,4,39,3,0,4
454,197,324,20,0,2204,377,185,4,0,1,0,4
34,197,324,11,0,317,97,312,4,0,6,0,4
454,197,324,11,0,275,377,185,4,0,6,0,4
454,197,324,11,0,341,377,185,4,0,6,0,4
34,197,324,11,0,340,97,312,4,0,6,0,4
454,197,324,11,0,177,377,185,4,0,6,0,4
34,197,324,11,0,165,97,312,4,0,6,0,4
267,197,324,27,0,740,347,185,4,39,1,4,4
314,197,324,11,0,483,372,210,4,39,3,1,4
588,197,324,25,0,2497,377,255,4,39,3,6,4
320,197,324,20,0,1450,347,245,4,36,3,6,4
423,197,324,23,0,1405,377,227,4,39,3,0,4
13,210,265,23,0,2643,426,309,4,39,3,4,3
330,210,265,20,0,877,318,185,4,39,3,6,4
550,210,265,22,0,506,372,268,4,39,3,4,3
31,210,265,25,0,128,426,43,4,39,3,4,3
280,210,265,7,0,2206,114,40,4,39,3,4,0
161,210,265,17,0,2628,106,129,4,21,4,1,3
512,210,265,11,0,2563,430,288,3,35,1,0,4
564,160,268,22,0,666,372,304,4,39,3,4,0
133,160,268,11,0,1045,418,70,4,39,3,0,4
365,160,268,27,0,1738,374,172,4,27,0,4,3
23,160,268,1,0,1717,388,293,4,39,3,4,4
121,160,268,20,0,1482,418,70,4,39,3,6,3
94,150,296,10,0,500,31,62,4,0,1,4,2
484,215,281,6,0,1842,395,242,4,39,3,6,4
592,215,281,20,0,206,399,312,4,38,3,0,4
585,215,281,7,0,1828,1,276,4,39,3,6,4
545,215,281,23,0,69,1,271,4,39,3,6,4
412,215,281,3,0,2129,377,231,4,37,1,0,4
397,215,281,22,0,1515,347,231,4,39,3,1,4
530,215,281,27,0,1729,372,312,4,0,3,0,3
464,215,281,11,0,607,360,251,4,39,3,0,4
320,215,281,11,0,537,347,185,4,39,3,0,4
437,215,281,26,0,245,377,220,4,39,3,4,4
242,215,281,12,0,2435,362,249,4,25,6,6,4
484,215,281,20,0,2427,395,242,4,39,3,6,4
484,215,281,20,0,1723,395,242,4,38,3,6,4
378,215,281,27,0,1687,347,204,4,39,3,6,4
34,176,328,11,0,277,97,312,4,0,6,0,4
166,176,328,25,0,2006,91,30,4,35,1,0,4
283,176,328,1,0,1981,347,185,4,39,3,6,4
545,176,328,27,0,1458,362,213,4,36,1,0,4
464,176,328,26,0,1145,347,251,4,39,3,4,3
9,146,278,3,0,2853,377,312,4,39,3,1,0
9,146,278,3,0,2704,377,312,4,39,3,6,0
9,146,278,5,0,1058,377,312,4,39,3,6,0
9,146,278,5,0,2677,377,312,4,39,3,6,0
40,146,278,25,0,827,10,1,4,35,3,4,4
101,146,278,4,0,91,113,158,4,27,1,4,3
480,146,278,11,0,627,406,225,4,38,3,0,4
34,146,278,27,0,2482,393,13,4,39,3,6,4
9,146,278,0,0,1939,377,312,4,39,3,0,4
467,146,278,3,0,1688,395,223,4,39,1,6,4
470,146,278,6,0,1387,388,245,4,39,1,6,4
9,146,278,20,0,1202,377,12,4,39,3,6,4
9,146,278,22,0,1181,377,12,4,39,3,0,4
574,79,314,11,0,829,362,308,4,0,1,0,4
154,79,314,1,0,1821,63,55,4,0,0,0,4
574,79,314,11,0,404,362,308,4,0,1,0,4
318,79,314,3,0,2544,347,150,4,27,1,5,3
324,79,314,20,0,2011,377,220,4,39,3,6,4
98,79,314,23,0,1994,347,150,4,39,3,0,4
512,79,314,22,0,1742,416,275,4,0,3,0,0
493,79,314,23,0,1707,395,300,4,39,3,0,4
91,79,314,20,0,1672,116,96,4,0,6,0,3
27,79,314,0,0,1661,10,43,4,0,0,0,0
493,79,314,25,0,1474,395,300,4,39,3,0,4
289,79,314,23,0,1461,347,204,1,38,3,0,4
140,79,314,23,0,1176,31,278,3,0,1,0,0
447,134,331,2,0,2607,430,242,4,39,3,4,3
307,134,331,2,0,2545,430,242,4,39,3,4,3
393,134,331,27,0,2512,430,242,4,39,1,6,3
77,134,331,20,0,1748,173,84,1,28,1,3,4
447,134,331,27,0,1701,430,242,4,39,3,4,3
447,134,331,25,0,1320,430,242,4,39,3,4,3
574,7,321,11,0,714,362,308,4,0,1,0,4
242,7,321,25,0,1658,347,185,4,39,3,6,3
358,7,321,0,0,1100,266,271,4,39,3,0,4
225,7,321,11,0,2610,347,220,4,39,3,6,0
233,7,321,0,0,2600,347,220,4,0,1,0,4
216,7,321,0,0,2594,347,220,4,0,1,0,4
77,7,321,0,0,2584,37,309,4,0,0,0,0
77,7,321,0,0,2553,37,309,4,0,0,0,0
446,7,321,7,0,2541,377,201,4,39,3,6,4
227,7,321,3,0,2431,243,258,4,39,3,4,4
231,7,321,25,0,2423,243,258,4,39,3,4,4
272,7,321,0,0,2003,347,204,1,0,0,0,0
98,7,321,23,0,1996,347,150,4,39,3,0,4
272,7,321,27,0,1970,347,204,1,35,1,0,3
250,7,321,11,0,1731,351,261,4,0,3,0,0
242,7,321,20,0,1727,377,220,4,0,3,0,0
254,7,321,20,0,1454,347,286,1,0,1,0,4
222,7,321,0,0,1389,347,220,3,0,3,0,4
536,7,321,0,0,1197,331,255,1,0,1,0,4
157,161,303,25,0,1519,94,118,4,0,1,1,3
132,161,303,25,0,2618,416,304,4,0,1,0,3
27,161,303,0,0,2595,416,55,4,0,1,0,4
62,161,303,12,0,2422,54,55,4,21,6,4,4
40,161,303,22,0,1716,416,296,4,0,1,0,4
451,161,303,9,0,1464,230,246,4,0,1,0,4
347,161,303,0,0,1368,233,205,4,0,1,1,4
15,244,259,11,0,36,10,312,4,0,0,6,4
34,124,320,11,0,166,97,312,4,0,6,0,4
267,124,320,25,0,2840,379,185,4,39,3,6,4
199,124,320,23,0,93,153,104,0,0,0,1,0
404,124,320,0,0,1334,84,55,4,0,6,0,0
140,124,320,22,0,2513,146,322,4,0,4,0,4
431,124,320,23,0,2022,331,307,4,39,3,0,0
328,124,320,23,0,2014,395,210,4,39,3,1,4
359,124,320,20,0,1967,347,293,4,0,1,4,4
359,124,320,22,0,1962,347,293,4,0,1,0,4
258,124,320,20,0,1753,347,255,4,0,4,0,0
493,124,320,23,0,1706,395,300,4,39,3,0,4
493,124,320,25,0,1472,395,300,4,39,3,0,4
102,169,258,25,0,1295,45,66,4,39,0,6,4
413,169,258,6,0,2411,305,221,4,30,6,0,3
203,169,258,0,0,1244,139,158,4,0,1,0,4
206,169,258,25,0,1412,112,84,4,38,3,2,4
1,5,309,0,0,2587,416,276,3,0,3,0,0
77,5,309,0,0,2472,37,309,4,37,1,4,4
404,5,309,20,0,2001,416,242,3,0,3,0,4
404,5,309,20,0,2000,416,242,3,0,3,0,4
584,5,309,11,0,1743,335,265,4,39,3,0,2
378,5,309,0,0,1634,416,242,3,0,0,0,0
378,5,309,0,0,1209,37,1,4,0,1,0,0
378,5,309,11,0,1179,388,178,3,0,3,0,0
558,5,309,5,0,1161,37,312,1,37,6,6,4
213,59,326,27,0,1650,347,185,4,39,3,6,4
95,119,301,22,0,425,42,1,4,0,1,1,4
308,119,301,4,0,2616,37,1,4,31,1,0,0
484,100,283,27,0,2653,304,1,4,39,3,4,0
9,100,283,5,0,2663,377,312,4,39,3,1,0
213,100,283,0,0,96,318,220,4,39,3,0,3
1,100,283,22,0,1979,377,12,3,39,1,4,4
31,252,272,2,0,1822,406,289,4,38,3,1,4
31,252,272,7,0,2002,406,289,4,39,3,6,4
437,200,277,27,0,1761,304,274,4,39,3,4,4
437,200,277,22,0,1695,304,274,4,39,3,4,0
566,200,277,20,0,1685,17,293,4,39,3,1,4
47,92,318,11,0,2470,426,55,4,0,1,0,4
54,92,318,2,0,2026,426,55,4,25,1,0,3
437,55,304,11,0,371,37,1,4,0,2,0,4
545,55,304,0,0,2625,362,1,4,0,1,6,4
545,55,304,0,0,2625,362,1,4,0,1,6,4
545,55,304,0,0,2579,362,1,4,0,1,6,4
199,156,292,23,0,2635,99,129,4,35,6,4,3
467,156,292,6,0,1683,395,245,4,39,3,6,4
140,156,292,23,0,1371,416,9,1,0,3,0,4
166,127,289,7,0,2514,130,47,4,0,1,6,0
493,109,287,25,0,1704,395,300,4,39,3,0,4
493,109,287,25,0,1466,395,300,4,39,3,0,4
239,74,333,0,0,879,347,195,4,39,3,0,4
114,74,333,11,0,104,388,157,4,0,4,0,0
181,74,333,0,0,2630,347,231,4,0,1,0,4
334,74,333,2,0,2548,377,185,4,39,3,6,4
382,74,333,20,0,1463,185,281,4,0,1,0,4
258,74,333,27,0,1435,372,204,1,39,3,0,4
342,58,310,0,0,1199,37,293,4,0,4,0,4
276,193,315,25,0,1990,393,213,4,39,1,1,4
498,228,322,27,0,1053,406,251,4,39,3,0,2
423,228,322,7,0,1406,377,227,4,39,3,6,4
413,138,275,11,0,1535,15,282,4,0,1,4,4
1,138,275,20,0,1940,377,312,4,39,3,0,4
62,164,286,25,0,1496,73,37,4,0,1,1,4
437,164,286,11,0,893,406,276,4,31,6,1,4
337,164,286,15,0,2503,237,217,4,32,1,1,2
467,164,286,4,0,1689,404,255,4,39,1,6,4
287,88,330,22,0,2790,377,185,1,39,3,6,4
254,43,312,0,0,2631,347,231,4,0,1,0,4
225,43,312,0,0,2627,347,220,4,0,1,0,4
412,43,312,0,0,2160,20,276,4,0,1,0,4
412,43,312,0,0,2601,20,276,4,0,1,0,4
225,43,312,0,0,2593,347,220,4,0,1,0,4
298,43,312,0,0,2588,347,220,4,0,1,0,4
512,43,312,0,0,2571,395,55,4,0,1,0,4
332,43,312,0,0,2568,347,220,4,0,1,0,4
333,140,299,23,0,1663,149,158,4,0,0,4,3
585,140,299,22,0,1189,423,293,4,36,1,4,4
62,101,305,22,0,2613,111,84,3,0,1,6,4
378,101,305,0,0,2552,377,231,4,27,0,0,0
20,84,306,0,0,1400,62,21,3,0,3,0,4
574,85,316,11,0,2569,423,293,4,0,1,0,4
574,172,276,23,0,2555,360,293,4,39,3,1,4
166,231,267,2,0,2550,251,198,4,35,1,6,3
587,220,269,27,0,2509,62,290,4,22,1,1,4
344,95,327,26,0,1733,377,185,4,39,3,0,0
166,103,297,4,0,2453,130,47,4,0,6,6,3
328,103,297,0,0,1760,23,16,4,35,1,0,3
484,222,280,22,0,1722,395,242,4,38,3,1,4
467,184,274,23,0,1684,395,220,4,39,3,6,4
592,240,264,22,0,1680,395,276,4,38,3,6,4
393,232,298,1,0,1677,377,255,4,0,1,0,4
393,232,298,27,0,1676,406,220,4,0,0,0,4
412,232,298,27,0,1673,416,231,4,0,0,0,4
308,232,298,27,0,1669,377,227,4,0,1,0,4
243,237,307,20,0,1473,329,158,4,0,1,0,4
175,221,313,10,0,1206,153,158,4,32,1,4,2
175,221,313,10,0,1206,153,158,4,32,1,4,2
592,312,124,11,0,1564,52,1,4,0,1,0,4
309,312,124,1,0,1015,182,205,4,27,1,1,2
379,298,215,12,0,2743,276,205,4,36,3,4,4
1,298,215,22,0,518,416,55,4,0,1,0,4
58,298,215,11,0,306,10,55,4,0,1,0,4
572,298,215,22,0,1820,372,312,4,0,0,4,0
115,298,215,26,0,1987,152,312,4,27,1,4,4
437,298,215,26,0,1640,416,1,4,0,6,0,3
354,298,215,25,0,882,299,127,4,0,2,0,3
558,298,215,23,0,2795,416,312,4,0,2,0,3
437,298,215,23,0,2732,416,1,4,39,6,0,3
467,298,215,22,0,1260,64,204,4,37,3,1,4
309,298,215,22,0,1470,242,129,1,36,3,0,4
534,298,215,4,0,1250,239,262,4,27,1,4,4
268,298,215,11,0,2045,224,139,4,0,0,0,2
28,298,215,23,0,1484,316,235,1,39,3,0,4
116,298,215,7,0,415,284,294,4,38,3,2,2
215,298,215,25,0,2353,193,56,4,0,1,2,4
309,298,215,26,0,2175,339,96,3,0,4,0,4
468,298,215,27,0,2174,244,205,1,39,3,0,4
47,298,215,27,0,2188,81,261,4,37,1,0,4
1,298,215,2,0,2181,81,265,4,0,1,0,3
40,298,215,27,0,2179,406,311,3,37,3,0,4
95,298,215,27,0,2178,406,311,3,37,3,0,4
27,298,215,5,0,2176,416,55,4,0,6,0,3
438,298,215,26,0,2173,215,186,1,39,3,0,4
215,298,215,25,0,2347,193,56,4,0,1,2,4
34,298,215,22,0,2294,37,125,4,0,1,0,4
572,298,215,25,0,2229,416,276,4,0,3,0,0
95,298,215,22,0,2230,406,311,1,0,1,0,0
40,298,215,22,0,2232,406,311,3,0,1,0,0
27,298,215,27,0,2237,416,55,4,0,1,0,0
40,298,215,22,0,2249,73,309,4,0,1,0,0
21,298,215,27,0,2189,330,230,3,38,3,0,4
438,298,215,26,0,2163,215,186,1,39,3,0,4
309,298,215,26,0,2165,339,96,3,0,4,0,4
468,298,215,27,0,2164,232,205,1,39,3,0,4
28,298,215,27,0,2172,316,235,1,38,3,0,4
484,298,215,25,0,2155,10,255,4,32,1,0,4
40,298,215,27,0,2169,406,311,3,37,3,0,4
95,298,215,27,0,2168,406,311,3,37,3,0,4
27,298,215,5,0,2166,416,55,4,0,6,0,3
572,298,215,2,0,2167,416,276,4,39,3,0,4
572,298,215,22,0,2257,416,276,4,39,3,0,0
95,298,215,23,0,2259,406,311,3,37,3,7,4
28,298,215,1,0,2252,316,235,1,39,3,6,4
438,298,215,27,0,2253,215,186,1,39,3,0,4
468,298,215,1,0,2254,232,205,1,39,3,7,4
309,298,215,23,0,2255,339,96,3,0,1,0,4
27,298,215,25,0,2256,416,55,4,36,1,0,3
40,298,215,22,0,2258,406,311,3,37,3,0,4
1,298,215,25,0,2261,81,265,4,0,1,0,3
166,298,215,23,0,2246,205,28,3,0,1,0,0
268,298,215,1,0,2270,224,156,4,0,1,0,2
379,298,215,23,0,2269,303,205,4,38,1,0,4
347,298,215,23,0,2271,226,187,3,37,3,0,4
519,298,215,25,0,2277,416,268,4,0,1,0,3
255,298,215,25,0,2275,48,96,4,0,1,0,3
572,298,215,22,0,2278,416,276,4,39,3,0,4
255,298,215,25,0,2275,48,96,4,0,1,0,3
519,298,215,25,0,2277,416,268,4,0,1,0,3
572,298,215,22,0,2278,416,276,4,39,3,0,4
27,298,215,25,0,2238,416,55,4,0,1,0,0
572,298,215,25,0,2231,416,276,4,0,3,0,0
95,298,215,22,0,2234,406,311,3,0,1,0,0
220,298,215,25,0,2225,270,96,4,0,1,2,4
219,298,215,25,0,2224,270,96,4,0,1,2,4
572,298,215,27,0,1888,416,276,4,39,3,0,4
347,298,215,23,0,1934,226,187,3,37,3,0,4
347,298,215,23,0,1932,303,205,4,39,3,0,4
40,298,215,22,0,1924,73,309,4,35,1,6,4
574,298,215,22,0,1922,17,231,4,35,1,1,4
95,298,215,22,0,1916,406,311,3,37,3,7,4
572,298,215,22,0,1915,416,276,4,39,3,4,4
309,298,215,22,0,1910,339,96,3,27,4,4,0
207,298,215,13,0,1892,183,205,4,0,4,0,4
28,298,215,25,0,1895,316,235,1,39,3,0,4
28,298,215,25,0,1601,316,235,1,39,3,0,4
95,298,215,23,0,1476,406,311,3,38,0,0,4
393,298,215,3,0,1433,377,220,4,42,3,6,4
125,298,215,13,0,1403,152,1,4,0,4,0,3
226,298,215,3,0,1401,208,129,1,39,3,0,4
365,298,215,0,0,1300,207,232,4,0,0,0,0
84,298,215,27,0,1204,22,256,1,38,3,0,0
84,298,215,27,0,1194,28,232,1,31,1,0,4
